Depth,Duration,Period,SNR,Even_Odd_Ratio,Secondary_Eclipse,Noise_Level,Transit_Shape,Label
0.1829,5.52,2.29,7.67,0.71,0,0.055,V,False Positive
0.1359,9.31,4.61,13.7,0.7,1,0.053,Smooth,False Positive
0.1243,5.53,20.28,6.93,0.8,0,0.073,Irregular,False Positive
0.1231,4.0,9.32,7.59,0.73,1,0.063,Irregular,False Positive
0.0178,4.28,48.07,24.72,1.02,0,0.021,U,Planet
0.0459,11.62,7.81,6.04,0.82,0,0.032,V,False Positive
0.1339,10.15,14.21,13.52,0.73,1,0.065,V,False Positive
0.0214,1.52,38.05,25.4,0.96,0,0.027,U,Planet
0.0251,3.94,24.3,21.15,1.04,0,0.015,U,Planet
0.025,3.84,49.42,21.91,1.05,0,0.046,U,Planet
0.1712,8.38,27.02,11.67,0.69,1,0.083,Smooth,False Positive
0.1602,8.17,19.18,5.57,0.53,1,0.046,Irregular,False Positive
0.1818,4.64,5.37,6.98,0.56,0,0.034,Irregular,False Positive
0.1222,7.33,7.0,7.46,0.86,0,0.09,Smooth,False Positive
0.1111,11.54,9.66,7.07,0.86,1,0.068,Smooth,False Positive
0.0172,2.46,25.31,17.78,1.02,0,0.042,U,Planet
0.026,4.72,49.07,20.68,1.04,0,0.034,U,Planet
0.0071,3.0,43.61,13.63,0.98,0,0.023,U,Planet
0.0856,10.09,11.99,11.78,0.83,1,0.088,Irregular,False Positive
0.0237,1.68,47.69,14.48,0.96,0,0.048,U,Planet
0.0239,4.82,11.57,10.41,0.97,0,0.015,U,Planet
0.0191,2.26,35.57,25.34,0.97,0,0.034,U,Planet
0.0244,2.07,16.93,21.57,1.04,0,0.033,U,Planet
0.0974,9.72,3.2,10.98,0.75,0,0.079,Irregular,False Positive
0.0249,3.48,3.97,20.65,1.02,0,0.013,U,Planet
0.0322,7.36,15.22,7.64,0.64,1,0.08,Irregular,False Positive
0.0233,4.88,14.96,26.16,1.0,0,0.029,U,Planet
0.1704,8.74,10.35,5.19,0.87,1,0.092,V,False Positive
0.1269,9.35,10.76,8.43,0.63,1,0.045,Irregular,False Positive
0.0775,8.77,26.52,9.23,0.71,0,0.036,Smooth,False Positive
0.1131,10.07,21.03,10.4,0.7,0,0.037,V,False Positive
0.1476,6.45,17.87,8.15,0.71,1,0.1,Smooth,False Positive
0.0898,7.63,9.89,5.0,0.79,1,0.038,Smooth,False Positive
0.0098,4.09,15.27,21.79,1.03,0,0.034,U,Planet
0.0258,2.54,19.32,16.05,1.02,0,0.015,U,Planet
0.0294,3.44,35.48,12.53,1.04,0,0.03,U,Planet
0.0194,3.14,23.14,13.69,0.96,0,0.048,U,Planet
0.0494,4.52,15.26,9.5,0.77,0,0.04,Smooth,False Positive
0.0445,5.99,17.18,7.41,0.74,0,0.084,Irregular,False Positive
0.1844,6.38,18.07,7.57,0.73,0,0.073,Smooth,False Positive
0.0287,2.23,12.13,23.21,0.97,0,0.017,U,Planet
0.0089,2.93,35.09,19.4,0.95,0,0.022,U,Planet
0.1495,7.63,20.93,14.01,0.82,0,0.06,Smooth,False Positive
0.0212,4.68,41.68,11.43,0.97,0,0.022,U,Planet
0.1047,7.75,9.82,7.23,0.61,1,0.061,Smooth,False Positive
0.0272,4.07,30.98,10.52,0.97,0,0.037,U,Planet
0.03,3.85,14.94,10.8,1.03,0,0.029,U,Planet
0.1857,5.45,17.97,10.25,0.7,0,0.063,Irregular,False Positive
0.0846,4.84,5.66,7.35,0.7,1,0.087,Smooth,False Positive
0.0164,2.6,17.52,29.4,0.99,0,0.031,U,Planet
0.0214,3.4,21.84,13.75,0.99,0,0.04,U,Planet
0.1592,5.63,16.93,14.06,0.68,1,0.038,Smooth,False Positive
0.0227,2.59,2.66,18.16,0.97,0,0.044,U,Planet
0.0165,1.91,41.94,19.97,1.02,0,0.03,U,Planet
0.1006,7.86,14.69,7.94,0.56,0,0.095,Smooth,False Positive
0.0266,2.47,39.92,18.3,1.04,0,0.03,U,Planet
0.0121,2.54,30.17,29.98,1.0,0,0.016,U,Planet
0.0887,8.42,16.76,7.92,0.63,0,0.099,V,False Positive
0.0697,10.2,2.27,11.68,0.78,1,0.057,Smooth,False Positive
0.0174,1.63,26.11,21.8,1.04,0,0.045,U,Planet
0.047,11.28,1.45,3.87,0.85,0,0.035,Irregular,False Positive
0.136,7.18,3.33,6.27,0.77,1,0.097,Smooth,False Positive
0.1783,4.29,2.98,10.21,0.87,0,0.082,Irregular,False Positive
0.024,3.96,6.82,13.33,0.98,0,0.011,U,Planet
0.1653,6.35,11.87,3.89,0.71,0,0.042,V,False Positive
0.1354,5.93,27.47,3.86,0.68,1,0.062,Smooth,False Positive
0.0275,3.13,15.81,20.93,0.96,0,0.048,U,Planet
0.1386,7.39,8.25,12.99,0.58,1,0.09,V,False Positive
0.0145,2.76,16.2,23.99,0.95,0,0.043,U,Planet
0.0767,8.53,20.89,11.68,0.52,1,0.088,Irregular,False Positive
0.0202,2.73,32.56,22.42,1.02,0,0.039,U,Planet
0.0207,4.66,33.02,16.18,0.99,0,0.033,U,Planet
0.0073,2.53,37.88,13.51,0.96,0,0.032,U,Planet
0.1202,11.31,25.08,5.34,0.83,1,0.098,Irregular,False Positive
0.1667,7.75,3.18,11.8,0.59,1,0.098,Smooth,False Positive
0.0454,7.16,8.67,3.61,0.65,1,0.071,Smooth,False Positive
0.0484,5.87,1.73,13.5,0.72,0,0.075,Smooth,False Positive
0.1846,6.42,12.84,3.82,0.88,1,0.1,V,False Positive
0.0109,3.38,20.65,17.42,1.04,0,0.038,U,Planet
0.1298,9.81,26.68,10.51,0.83,1,0.096,Irregular,False Positive
0.0223,2.26,23.35,14.72,0.99,0,0.049,U,Planet
0.1226,11.82,11.4,7.18,0.58,0,0.096,Irregular,False Positive
0.0216,3.75,30.66,10.43,1.03,0,0.02,U,Planet
0.0247,2.22,41.83,21.08,1.01,0,0.043,U,Planet
0.0132,2.02,45.23,10.06,1.04,0,0.016,U,Planet
0.0185,4.29,7.28,27.33,0.96,0,0.024,U,Planet
0.0197,1.56,14.74,12.54,0.99,0,0.015,U,Planet
0.0169,4.22,26.64,12.18,1.0,0,0.048,U,Planet
0.0232,4.68,33.63,16.03,1.01,0,0.011,U,Planet
0.174,7.41,4.13,11.26,0.68,0,0.053,V,False Positive
0.0082,3.69,30.1,24.24,0.99,0,0.034,U,Planet
0.1071,8.84,3.88,11.12,0.84,0,0.06,V,False Positive
0.0876,7.63,13.06,3.24,0.67,1,0.056,V,False Positive
0.0414,10.65,3.7,3.26,0.8,0,0.069,Smooth,False Positive
0.1439,7.29,26.33,14.23,0.67,0,0.098,Smooth,False Positive
0.0898,8.62,7.17,10.54,0.59,0,0.055,Smooth,False Positive
0.0495,6.23,7.56,7.58,0.72,0,0.073,Smooth,False Positive
0.0349,6.19,23.11,13.98,0.64,0,0.091,Smooth,False Positive
0.0418,9.93,29.18,3.19,0.71,1,0.059,Irregular,False Positive
0.0143,4.03,39.29,21.35,0.96,0,0.012,U,Planet
0.0239,1.67,5.92,18.86,0.99,0,0.034,U,Planet
0.0764,10.04,4.3,7.59,0.61,1,0.067,Irregular,False Positive
0.0105,4.95,4.63,14.09,1.04,0,0.041,U,Planet
0.0792,4.96,15.42,7.6,0.55,0,0.065,Smooth,False Positive
0.0423,10.89,2.23,2.24,0.87,1,0.07,Smooth,False Positive
0.1506,7.34,4.34,2.27,0.63,1,0.088,Irregular,False Positive
0.0159,1.87,22.91,18.01,0.96,0,0.045,U,Planet
0.0677,10.23,3.22,10.23,0.71,0,0.093,Irregular,False Positive
0.1537,10.55,24.64,5.07,0.56,0,0.042,V,False Positive
0.0094,4.2,25.72,25.09,1.03,0,0.028,U,Planet
0.1769,9.02,5.38,2.89,0.68,1,0.086,Smooth,False Positive
0.0138,1.76,24.16,10.75,0.99,0,0.021,U,Planet
0.0204,3.27,24.21,21.09,1.03,0,0.046,U,Planet
0.1845,8.57,6.46,9.87,0.7,0,0.062,Irregular,False Positive
0.0176,2.1,13.89,18.76,0.99,0,0.031,U,Planet
0.0141,4.71,20.6,25.49,1.02,0,0.012,U,Planet
0.0412,4.76,20.67,5.69,0.79,0,0.053,Smooth,False Positive
0.0279,2.59,33.49,23.24,0.96,0,0.038,U,Planet
0.0127,2.82,40.0,26.26,1.02,0,0.043,U,Planet
0.0212,2.98,19.37,17.25,0.97,0,0.019,U,Planet
0.0626,12.0,5.49,5.85,0.82,0,0.076,Smooth,False Positive
0.0199,2.04,10.68,23.86,1.01,0,0.046,U,Planet
0.0374,6.91,21.87,14.6,0.74,1,0.046,V,False Positive
0.1942,10.27,27.22,4.52,0.77,1,0.062,Irregular,False Positive
0.1155,7.35,5.7,4.6,0.74,1,0.034,Irregular,False Positive
0.1243,4.82,25.53,13.07,0.61,0,0.049,Smooth,False Positive
0.0258,1.82,45.7,26.33,1.04,0,0.047,U,Planet
0.0391,8.02,7.84,14.93,0.65,0,0.052,V,False Positive
0.1645,5.1,9.32,12.79,0.78,0,0.083,Irregular,False Positive
0.1346,11.25,1.55,4.8,0.56,1,0.038,Irregular,False Positive
0.0125,1.67,22.15,25.88,1.0,0,0.014,U,Planet
0.1314,4.13,15.95,5.15,0.56,1,0.03,Irregular,False Positive
0.0193,2.16,34.07,20.47,0.99,0,0.048,U,Planet
0.0148,3.15,32.51,29.62,0.98,0,0.011,U,Planet
0.0136,4.07,32.16,25.43,1.02,0,0.023,U,Planet
0.0138,2.68,32.85,26.61,1.02,0,0.049,U,Planet
0.1374,10.49,2.83,12.09,0.68,1,0.044,V,False Positive
0.0129,2.59,21.11,26.31,1.0,0,0.011,U,Planet
0.0122,4.52,4.29,23.11,0.98,0,0.042,U,Planet
0.1812,9.95,26.94,7.03,0.89,1,0.078,Irregular,False Positive
0.1662,9.82,3.29,9.83,0.83,1,0.052,V,False Positive
0.1424,6.45,18.48,7.54,0.78,1,0.061,Smooth,False Positive
0.1345,7.48,19.54,12.29,0.52,1,0.055,Smooth,False Positive
0.0288,2.0,31.16,25.63,0.95,0,0.013,U,Planet
0.0916,11.6,1.94,3.99,0.68,1,0.056,V,False Positive
0.0182,2.89,33.18,14.99,0.96,0,0.039,U,Planet
0.118,11.31,4.42,12.07,0.78,0,0.1,Irregular,False Positive
0.064,5.09,3.15,4.24,0.79,0,0.087,Irregular,False Positive
0.1506,8.4,9.42,5.9,0.56,0,0.086,Smooth,False Positive
0.008,2.2,8.67,25.81,0.95,0,0.032,U,Planet
0.1095,11.86,4.76,13.5,0.53,1,0.1,Smooth,False Positive
0.1194,10.15,24.88,2.96,0.89,0,0.061,Smooth,False Positive
0.0518,10.63,16.99,9.64,0.81,0,0.06,V,False Positive
0.018,2.56,9.77,28.69,0.97,0,0.048,U,Planet
0.1738,6.0,19.42,9.16,0.55,1,0.073,V,False Positive
0.0198,3.53,10.22,22.49,1.04,0,0.024,U,Planet
0.0256,1.6,4.18,22.83,1.01,0,0.036,U,Planet
0.1351,4.24,26.78,9.09,0.76,1,0.064,Smooth,False Positive
0.0806,4.58,2.74,7.71,0.69,0,0.054,V,False Positive
0.1765,6.55,29.65,6.49,0.66,1,0.066,V,False Positive
0.0711,4.98,14.04,3.83,0.52,1,0.09,Irregular,False Positive
0.0291,4.66,41.05,28.68,1.02,0,0.018,U,Planet
0.0175,3.3,25.94,16.17,0.95,0,0.048,U,Planet
0.1943,5.72,11.23,2.66,0.7,1,0.05,V,False Positive
0.0158,4.59,36.92,25.28,0.99,0,0.026,U,Planet
0.0141,2.51,20.54,19.01,1.0,0,0.043,U,Planet
0.0082,1.84,19.91,29.74,1.01,0,0.025,U,Planet
0.01,3.28,26.0,10.91,0.96,0,0.023,U,Planet
0.1183,5.19,26.9,3.82,0.87,1,0.041,Smooth,False Positive
0.1309,8.06,15.78,8.37,0.73,1,0.087,Irregular,False Positive
0.1445,11.84,17.93,12.36,0.79,0,0.072,Irregular,False Positive
0.023,3.54,10.18,22.58,1.01,0,0.044,U,Planet
0.0255,2.35,29.48,24.01,0.97,0,0.028,U,Planet
0.0557,9.52,12.9,12.07,0.87,0,0.079,Smooth,False Positive
0.019,4.99,24.96,17.54,1.05,0,0.028,U,Planet
0.1229,9.41,26.16,10.85,0.82,1,0.073,V,False Positive
0.012,2.54,47.19,29.65,1.03,0,0.038,U,Planet
0.0839,6.79,28.08,12.34,0.61,0,0.07,Smooth,False Positive
0.1823,7.16,11.01,12.05,0.56,0,0.05,Smooth,False Positive
0.0137,3.05,14.31,19.58,0.97,0,0.032,U,Planet
0.0533,8.93,18.02,5.15,0.77,0,0.075,V,False Positive
0.0153,4.01,6.83,25.42,0.95,0,0.032,U,Planet
0.0152,4.77,44.16,19.55,0.97,0,0.049,U,Planet
0.0785,4.47,23.29,10.48,0.59,0,0.094,V,False Positive
0.18,5.41,27.67,14.96,0.66,1,0.043,Smooth,False Positive
0.179,4.07,17.47,3.39,0.89,1,0.062,Smooth,False Positive
0.1812,5.07,15.62,5.55,0.82,1,0.041,Irregular,False Positive
0.1522,4.11,10.78,5.84,0.77,0,0.042,Smooth,False Positive
0.1706,8.12,3.52,10.7,0.57,0,0.063,V,False Positive
0.0115,2.32,38.18,29.08,0.98,0,0.039,U,Planet
0.0115,2.76,13.34,23.36,1.0,0,0.016,U,Planet
0.1473,9.11,28.28,6.78,0.59,0,0.063,Irregular,False Positive
0.1007,8.39,14.65,8.99,0.77,0,0.083,Smooth,False Positive
0.0181,3.35,19.37,28.34,0.96,0,0.043,U,Planet
0.0193,2.02,17.75,20.41,0.96,0,0.018,U,Planet
0.0455,8.08,24.45,7.89,0.71,1,0.069,Smooth,False Positive
0.1444,6.47,1.63,5.31,0.5,0,0.07,V,False Positive
0.0886,4.51,29.83,14.15,0.53,1,0.032,Irregular,False Positive
0.0242,4.18,48.96,22.92,0.99,0,0.05,U,Planet
0.1063,11.34,11.95,3.04,0.89,0,0.076,Irregular,False Positive
0.0095,3.38,27.38,24.56,0.97,0,0.01,U,Planet
0.0295,3.12,36.52,18.48,0.99,0,0.019,U,Planet
0.0888,6.21,28.18,11.43,0.55,1,0.073,V,False Positive
0.0102,1.85,3.61,21.96,1.02,0,0.012,U,Planet
0.0151,2.32,12.43,27.27,0.96,0,0.03,U,Planet
0.0698,11.33,17.71,9.51,0.81,1,0.047,V,False Positive
0.0153,2.46,28.72,21.83,1.02,0,0.017,U,Planet
0.1245,4.38,10.99,10.36,0.65,1,0.079,Irregular,False Positive
0.0125,2.14,27.82,14.82,0.97,0,0.044,U,Planet
0.0251,4.7,28.99,29.36,1.01,0,0.015,U,Planet
0.0114,2.66,5.8,19.0,0.99,0,0.031,U,Planet
0.0063,2.82,31.04,10.79,0.96,0,0.042,U,Planet
0.017,4.54,17.98,29.14,0.95,0,0.047,U,Planet
0.0237,4.14,45.89,23.91,1.02,0,0.026,U,Planet
0.0188,4.21,20.27,20.67,0.99,0,0.02,U,Planet
0.1092,10.42,21.95,11.9,0.63,0,0.056,Irregular,False Positive
0.0191,2.27,9.0,15.22,1.04,0,0.033,U,Planet
0.0802,5.57,7.67,9.41,0.6,1,0.048,Irregular,False Positive
0.1083,9.86,11.21,3.82,0.72,0,0.094,Smooth,False Positive
0.0181,4.44,5.57,26.36,0.95,0,0.01,U,Planet
0.0261,2.31,35.94,10.18,1.0,0,0.025,U,Planet
0.1421,4.13,16.43,7.35,0.51,1,0.068,Irregular,False Positive
0.0176,3.94,22.67,28.79,0.97,0,0.047,U,Planet
0.011,3.67,14.12,17.09,1.03,0,0.013,U,Planet
0.108,5.95,21.22,5.9,0.83,0,0.076,Smooth,False Positive
0.0073,2.83,28.53,11.12,0.95,0,0.017,U,Planet
0.1737,9.16,10.61,14.71,0.89,0,0.046,Smooth,False Positive
0.0761,11.39,20.85,5.64,0.72,0,0.043,Irregular,False Positive
0.029,3.55,38.11,24.25,0.99,0,0.013,U,Planet
0.0191,3.48,42.77,23.54,1.0,0,0.025,U,Planet
0.0248,3.91,5.76,24.91,0.98,0,0.014,U,Planet
0.026,2.69,38.91,29.1,0.99,0,0.041,U,Planet
0.0209,4.24,23.63,14.56,1.01,0,0.025,U,Planet
0.022,3.81,6.11,22.37,1.03,0,0.039,U,Planet
0.0117,2.83,39.63,13.09,0.99,0,0.024,U,Planet
0.0051,2.58,19.28,15.4,0.96,0,0.017,U,Planet
0.1247,8.1,4.0,3.17,0.72,1,0.09,V,False Positive
0.1003,10.23,22.02,9.27,0.9,0,0.07,V,False Positive
0.0588,6.15,8.78,3.9,0.57,1,0.059,Irregular,False Positive
0.014,4.8,36.6,19.92,1.01,0,0.028,U,Planet
0.0126,4.82,17.95,22.4,1.03,0,0.023,U,Planet
0.1032,10.59,19.88,9.73,0.62,0,0.064,V,False Positive
0.1947,6.33,21.15,8.38,0.73,0,0.053,Irregular,False Positive
0.0921,11.46,6.79,14.96,0.57,0,0.097,Irregular,False Positive
0.016,2.52,35.26,26.38,1.03,0,0.026,U,Planet
0.0537,6.42,8.33,4.0,0.67,1,0.035,Smooth,False Positive
0.129,8.27,27.78,13.31,0.67,0,0.085,Irregular,False Positive
0.0077,2.37,33.91,13.33,1.01,0,0.033,U,Planet
0.1944,6.65,24.09,3.38,0.54,0,0.066,Smooth,False Positive
0.0161,2.87,39.07,21.77,1.0,0,0.024,U,Planet
0.0171,2.53,46.19,11.72,1.03,0,0.039,U,Planet
0.083,7.64,7.0,8.28,0.69,1,0.081,Irregular,False Positive
0.0414,4.36,21.61,2.29,0.64,0,0.077,V,False Positive
0.0179,3.43,17.89,18.53,1.0,0,0.042,U,Planet
0.0097,3.8,20.99,24.75,1.04,0,0.028,U,Planet
0.0961,9.64,6.97,11.78,0.82,0,0.07,Smooth,False Positive
0.0141,2.19,7.47,23.41,1.0,0,0.049,U,Planet
0.1315,8.89,18.02,6.52,0.84,0,0.087,Smooth,False Positive
0.1862,8.72,20.49,6.07,0.6,0,0.043,Smooth,False Positive
0.0178,2.96,8.62,17.67,0.97,0,0.035,U,Planet
0.0189,3.21,8.73,16.29,1.0,0,0.012,U,Planet
0.1918,7.88,6.66,6.99,0.72,1,0.059,Irregular,False Positive
0.1507,7.55,5.85,9.35,0.82,0,0.05,Irregular,False Positive
0.0184,2.09,23.95,24.85,1.03,0,0.032,U,Planet
0.0193,2.44,28.07,29.82,1.0,0,0.04,U,Planet
0.1229,11.92,3.97,12.79,0.8,1,0.091,V,False Positive
0.0747,10.9,3.52,13.25,0.55,0,0.045,Smooth,False Positive
0.1764,8.88,13.42,10.01,0.81,0,0.086,Smooth,False Positive
0.1205,8.77,5.88,14.73,0.62,1,0.097,Smooth,False Positive
0.0084,4.13,21.76,11.19,0.98,0,0.036,U,Planet
0.0112,3.99,41.77,25.23,1.02,0,0.03,U,Planet
0.1367,7.0,3.19,12.33,0.81,1,0.066,Irregular,False Positive
0.1073,7.9,17.88,13.3,0.84,0,0.081,Irregular,False Positive
0.1745,10.37,12.53,14.59,0.83,1,0.049,Irregular,False Positive
0.123,5.04,25.72,12.25,0.86,0,0.033,Smooth,False Positive
0.0328,11.44,5.58,7.93,0.9,1,0.044,Smooth,False Positive
0.0271,2.56,43.97,27.53,0.96,0,0.024,U,Planet
0.0143,4.66,9.95,17.93,0.98,0,0.038,U,Planet
0.0157,1.82,6.57,14.27,0.96,0,0.034,U,Planet
0.0316,9.56,24.7,14.85,0.67,0,0.063,V,False Positive
0.0452,10.45,3.99,6.78,0.62,1,0.084,V,False Positive
0.0067,3.47,31.3,13.28,0.99,0,0.019,U,Planet
0.028,3.66,23.23,14.34,1.04,0,0.016,U,Planet
0.0197,2.84,48.24,16.29,0.96,0,0.021,U,Planet
0.0112,3.6,36.62,15.7,1.04,0,0.011,U,Planet
0.0649,8.86,6.47,7.09,0.76,0,0.065,V,False Positive
0.0175,3.58,27.36,29.55,1.05,0,0.047,U,Planet
0.0147,4.44,22.2,20.93,0.97,0,0.029,U,Planet
0.0054,1.74,14.58,10.8,0.96,0,0.042,U,Planet
0.1369,8.01,13.05,11.12,0.53,0,0.049,Irregular,False Positive
0.0178,2.21,40.79,20.73,0.99,0,0.035,U,Planet
0.0128,3.03,47.76,14.77,0.97,0,0.047,U,Planet
0.0163,3.63,16.85,24.83,1.02,0,0.015,U,Planet
0.0225,2.07,47.74,20.46,1.03,0,0.039,U,Planet
0.0143,4.12,43.93,24.66,0.96,0,0.046,U,Planet
0.1672,6.18,2.85,11.26,0.73,0,0.065,Smooth,False Positive
0.0394,10.87,5.84,4.05,0.81,0,0.046,Smooth,False Positive
0.0061,4.52,13.74,19.44,0.99,0,0.016,U,Planet
0.0188,4.7,37.55,18.39,0.98,0,0.027,U,Planet
0.0761,4.62,11.81,8.53,0.86,0,0.046,Smooth,False Positive
0.0289,1.74,24.32,15.65,1.03,0,0.023,U,Planet
0.0314,5.61,17.35,5.95,0.75,1,0.056,Irregular,False Positive
0.0233,3.41,40.21,13.01,1.04,0,0.011,U,Planet
0.1381,9.55,1.28,6.36,0.8,1,0.089,Smooth,False Positive
0.0477,8.24,7.91,8.4,0.52,0,0.08,V,False Positive
0.028,4.64,26.95,24.02,0.99,0,0.049,U,Planet
0.0195,3.27,32.59,17.89,1.01,0,0.012,U,Planet
0.0109,2.41,17.12,26.02,1.02,0,0.039,U,Planet
0.107,5.87,28.36,3.77,0.81,0,0.041,V,False Positive
0.1092,7.25,16.54,14.54,0.58,1,0.062,V,False Positive
0.0089,3.9,41.67,23.94,0.95,0,0.043,U,Planet
0.0552,9.69,29.08,7.15,0.52,1,0.048,V,False Positive
0.0288,4.49,28.69,21.0,0.96,0,0.014,U,Planet
0.008,1.72,39.49,14.45,0.97,0,0.026,U,Planet
0.0196,2.41,41.01,10.44,0.96,0,0.046,U,Planet
0.1676,4.74,25.57,12.52,0.55,1,0.034,Smooth,False Positive
0.1697,7.16,1.85,10.88,0.57,0,0.094,Irregular,False Positive
0.1058,5.19,18.81,10.02,0.76,1,0.059,Smooth,False Positive
0.0404,6.24,4.98,4.59,0.85,0,0.074,Smooth,False Positive
0.0297,4.24,19.24,20.89,1.0,0,0.047,U,Planet
0.096,5.44,10.25,4.85,0.86,1,0.034,Irregular,False Positive
0.1604,12.0,29.25,3.3,0.76,1,0.067,Smooth,False Positive
0.0241,4.82,29.63,29.65,0.99,0,0.047,U,Planet
0.0094,3.57,40.7,23.95,1.04,0,0.011,U,Planet
0.1911,8.51,17.33,4.45,0.9,1,0.068,V,False Positive
0.0365,4.45,18.45,2.26,0.69,1,0.094,V,False Positive
0.0135,2.12,40.52,27.36,0.96,0,0.016,U,Planet
0.0244,4.46,43.31,29.21,0.99,0,0.048,U,Planet
0.1296,6.69,10.36,14.69,0.79,1,0.085,Irregular,False Positive
0.0596,11.75,21.11,14.07,0.81,0,0.077,V,False Positive
0.0822,9.51,4.69,11.47,0.88,1,0.09,Smooth,False Positive
0.0096,2.61,40.82,22.23,1.01,0,0.014,U,Planet
0.0539,9.96,7.9,14.77,0.57,0,0.088,Smooth,False Positive
0.1059,6.12,8.24,2.88,0.6,0,0.08,V,False Positive
0.1045,7.36,5.82,7.38,0.85,1,0.068,V,False Positive
0.1641,8.62,22.99,4.93,0.68,0,0.051,Irregular,False Positive
0.1918,4.59,5.93,6.88,0.79,0,0.054,Smooth,False Positive
0.1498,7.45,19.96,9.9,0.67,0,0.037,V,False Positive
0.0152,3.44,46.43,20.8,1.02,0,0.022,U,Planet
0.0062,3.5,42.31,13.07,0.99,0,0.027,U,Planet
0.1701,9.0,14.93,3.26,0.58,1,0.098,Irregular,False Positive
0.0127,2.89,25.48,23.22,0.96,0,0.032,U,Planet
0.0143,2.84,10.96,10.89,0.99,0,0.021,U,Planet
0.1259,5.21,21.2,3.26,0.77,1,0.098,Smooth,False Positive
0.0188,4.44,41.28,18.37,1.0,0,0.045,U,Planet
0.1274,5.89,9.67,7.13,0.84,0,0.065,Smooth,False Positive
0.008,4.15,10.3,29.69,1.05,0,0.042,U,Planet
0.0061,1.77,34.79,14.04,1.03,0,0.016,U,Planet
0.0844,9.82,24.41,3.13,0.72,1,0.09,Smooth,False Positive
0.1859,4.1,21.31,9.64,0.81,0,0.059,V,False Positive
0.0281,3.47,6.85,15.72,1.0,0,0.024,U,Planet
0.0749,9.24,17.59,8.15,0.57,1,0.04,Smooth,False Positive
0.0366,11.12,10.61,5.09,0.8,1,0.093,V,False Positive
0.169,6.42,9.13,8.39,0.78,0,0.098,V,False Positive
0.0125,4.1,39.15,16.42,1.02,0,0.034,U,Planet
